time,open,high,low,close,tick_volume,spread,real_volume
2018-05-11,1321.079,1325.873,1317.075,1318.125,64855,150,0
2018-05-13,1318.81,1320.16,1318.703,1320.063,1804,197,0
2018-05-14,1320.003,1322.273,1312.916,1313.718,64436,150,0
2018-05-15,1313.706,1314.808,1288.662,1292.756,77800,150,0
2018-05-16,1292.777,1296.834,1286.368,1291.74,75217,150,0
2018-05-17,1291.74,1294.337,1284.745,1289.474,71335,150,0
2018-05-18,1289.479,1294.142,1286.064,1292.962,63909,150,0
2018-05-20,1290.56,1291.76,1290.306,1291.152,1586,171,0
2018-05-21,1291.142,1293.379,1282.056,1292.457,68971,150,0
2018-05-22,1292.486,1296.054,1287.905,1293.461,70082,150,0
2018-05-23,1293.457,1298.268,1287.036,1294.923,85056,150,0
2018-05-24,1294.922,1306.571,1292.709,1304.361,76686,150,0
2018-05-25,1304.331,1307.716,1299.84,1301.264,72311,150,0
2018-05-27,1297.48,1299.39,1296.824,1298.759,1570,217,0
2018-05-28,1298.765,1300.253,1295.472,1298.025,51921,150,0
2018-05-29,1298.024,1306.474,1291.871,1302.115,92861,150,0
2018-05-30,1302.092,1304.208,1295.848,1302.516,85388,150,0
2018-05-31,1302.48,1306.399,1296.941,1299.39,82221,150,0
2018-06-01,1299.377,1300.539,1289.318,1292.928,72628,150,0
2018-06-03,1293.33,1294.461,1292.448,1292.71,1748,212,0
2018-06-04,1292.67,1297.981,1290.13,1291.514,69570,150,0
2018-06-05,1291.503,1300.466,1289.85,1296.876,68476,150,0
2018-06-06,1296.886,1301.728,1293.756,1297.281,69115,150,0
2018-06-07,1297.275,1303.054,1294.868,1297.222,73063,150,0
2018-06-08,1297.188,1300.48,1291.59,1298.456,67573,150,0
2018-06-10,1298.637,1299.717,1298.619,1299.122,1431,188,0
2018-06-11,1299.062,1302.118,1294.092,1298.146,64452,150,0
2018-06-12,1298.113,1299.736,1292.314,1295.435,71494,150,0
2018-06-13,1295.426,1301.124,1291.572,1299.33,66863,150,0
2018-06-14,1299.358,1309.231,1297.507,1302.365,76056,150,0
2018-06-15,1302.352,1302.979,1275.39,1279.602,81746,150,0
2018-06-17,1279.739,1281.192,1279.299,1280.925,1919,199,0
2018-06-18,1280.93,1282.351,1277.006,1281.281,66262,150,0
2018-06-19,1281.261,1284.015,1270.4,1274.982,78698,150,0
2018-06-20,1274.979,1276.32,1267.44,1269.389,76001,150,0
2018-06-21,1269.399,1270.059,1261.332,1267.292,76540,150,0
2018-06-22,1267.296,1271.008,1266.718,1269.088,65202,150,0
2018-06-24,1271.095,1271.624,1270.871,1270.932,1414,225,0
2018-06-25,1270.932,1272.531,1264.363,1265.978,75762,150,0
2018-06-26,1265.962,1267.653,1254.748,1258.143,77825,150,0
2018-06-27,1258.141,1259.989,1250.746,1252.881,84669,150,0
2018-06-28,1252.884,1254.229,1245.91,1248.581,81313,150,0
2018-06-29,1248.551,1255.573,1245.978,1252.533,79160,150,0
