target,lot,step,max_l,mode,use_trix,net_profit,final_balance,max_dd_pct,harvest_count,total_trades,roi_pct
50.0,0.05,400.0,2,per_order,False,1656.5119628906687,11656.511962890669,23.403307201304393,240,1178,16.565119628906686
100.0,0.1,500.0,4,basket,True,1561.9975585943394,11561.99755859434,32.71378228942178,174,896,15.619975585943394
100.0,0.1,500.0,3,basket,True,1561.9975585943394,11561.99755859434,32.71378228942178,174,896,15.619975585943394
100.0,0.1,500.0,2,basket,True,1561.9975585943394,11561.99755859434,32.71378228942178,174,896,15.619975585943394
100.0,0.05,400.0,4,basket,True,1557.9853515625,11557.9853515625,15.250636079174326,116,981,15.579853515625
100.0,0.05,400.0,3,basket,True,1557.9853515625,11557.9853515625,15.250636079174326,116,981,15.579853515625
100.0,0.05,400.0,2,basket,True,1548.487548828125,11548.487548828125,15.597812323626611,116,966,15.484875488281249
75.0,0.05,300.0,2,per_order,True,1513.996337890625,11513.996337890625,19.04901374914771,164,1024,15.139963378906248
75.0,0.05,300.0,4,basket,True,1507.491943359375,11507.491943359375,17.212649370722506,137,1008,15.07491943359375
75.0,0.05,300.0,3,basket,True,1507.491943359375,11507.491943359375,17.212649370722506,137,1008,15.07491943359375
50.0,0.05,500.0,3,per_order,False,1498.506103515705,11498.506103515705,24.578942179111557,230,1131,14.985061035157049
50.0,0.05,500.0,4,per_order,False,1498.506103515705,11498.506103515705,24.578942179111557,230,1131,14.985061035157049
50.0,0.05,500.0,2,per_order,False,1498.506103515705,11498.506103515705,24.578942179111557,230,1131,14.985061035157049
100.0,0.05,300.0,3,per_order,True,1498.488525390625,11498.488525390625,15.230125457275806,148,1138,14.98488525390625
