LotBudget,StepUSD,FreeRollUSD,CashflowUSD,Donchian,TRIX,ProfitUSD,ProfitPct,MaxDD_Pct,ProfitFactor,WinRatePct,Trades,Harvests
0.06,1200,100,400,25,True,447.51,9.0,7.0,3.13,14.6,48,1
0.08,500,80,250,20,True,781.95,15.6,6.7,3.12,18.5,54,4
0.1,300,80,400,20,True,1256.45,25.1,5.9,3.11,18.5,54,4
0.08,750,60,400,20,True,918.69,18.4,5.8,3.11,13.2,53,2
0.1,500,100,400,20,True,936.93,18.7,6.6,3.1,17.3,52,3
0.06,1200,60,300,20,True,598.55,12.0,5.3,3.08,15.4,52,2
0.06,1200,80,200,15,True,508.71,10.2,4.5,3.08,15.5,58,3
0.06,1200,100,200,15,True,501.86,10.0,5.9,3.08,14.0,57,3
0.06,1200,80,200,20,True,507.22,10.1,4.5,3.07,16.7,54,3
0.1,1000,40,200,15,True,718.19,14.4,4.7,3.06,18.6,59,4
0.06,1200,60,300,15,True,597.07,11.9,5.3,3.06,14.3,56,2
0.06,1000,60,400,25,True,526.39,10.5,7.5,3.06,16.3,49,1
0.06,1200,40,200,20,True,499.58,10.0,3.9,3.06,15.1,53,3
0.08,750,40,250,20,True,715.59,14.3,4.7,3.05,12.5,56,4
0.06,1000,60,400,20,True,527.17,10.5,7.4,3.05,17.6,51,1
0.06,1000,80,400,20,True,527.17,10.5,7.4,3.05,17.6,51,1
0.1,1200,80,150,15,True,652.82,13.1,5.4,3.04,12.1,58,5
0.06,500,60,250,20,True,581.3,11.6,4.5,3.04,17.3,52,3
0.06,1200,40,200,15,True,498.1,10.0,3.9,3.03,14.0,57,3
0.06,1200,100,200,20,True,497.12,9.9,6.0,3.03,15.1,53,3
0.08,500,40,300,20,True,848.38,17.0,4.6,3.02,14.8,54,4
0.06,750,60,300,15,True,646.26,12.9,3.6,3.02,14.3,56,2
0.06,500,40,400,25,True,785.73,15.7,4.5,3.01,17.6,51,2
0.08,1200,40,300,25,True,655.53,13.1,4.9,3.01,12.0,50,2
0.06,1200,80,400,20,True,446.01,8.9,7.0,3.01,17.3,52,1
0.08,500,80,400,25,True,890.45,17.8,4.9,3.0,18.0,50,2
0.06,1200,40,400,20,True,438.36,8.8,7.1,2.99,15.7,51,1
0.1,300,80,300,20,True,1211.06,24.2,7.9,2.97,18.2,55,5
0.1,300,100,300,20,True,1211.06,24.2,7.9,2.97,18.2,55,5
0.08,300,80,250,20,True,1009.51,20.2,6.5,2.97,18.2,55,5
0.08,300,100,250,20,True,1009.51,20.2,6.5,2.97,18.2,55,5
0.08,750,100,400,15,True,901.64,18.0,5.4,2.96,12.5,56,2
0.08,500,100,300,20,True,831.12,16.6,5.5,2.96,15.1,53,4
0.1,1200,60,200,15,True,637.46,12.7,5.5,2.96,12.1,58,4
0.06,1000,60,400,15,True,520.57,10.4,7.5,2.96,16.4,55,1
0.06,1200,80,400,15,True,443.5,8.9,7.0,2.96,16.1,56,1
0.06,1200,100,400,15,True,436.64,8.7,7.1,2.96,14.5,55,1
0.06,1200,100,400,20,True,435.9,8.7,7.1,2.96,15.7,51,1
0.08,500,80,400,15,True,938.85,18.8,5.3,2.94,16.4,55,2
0.08,500,100,400,15,True,938.85,18.8,5.3,2.94,16.4,55,2
0.06,500,60,150,20,True,703.27,14.1,2.5,2.94,18.2,55,6
0.08,500,80,200,20,True,894.41,17.9,3.3,2.93,18.2,55,6
0.08,1000,60,400,15,True,818.14,16.4,6.2,2.93,16.1,56,2
0.08,1000,80,400,15,True,818.14,16.4,6.2,2.93,16.1,56,2
0.06,1000,40,300,20,True,630.58,12.6,5.4,2.93,13.5,52,2
0.06,750,100,300,25,True,618.38,12.4,5.9,2.93,12.2,49,2
0.06,300,60,200,20,True,785.0,15.7,5.1,2.92,18.2,55,5
0.06,500,40,300,20,True,643.68,12.9,5.2,2.92,17.3,52,2
0.06,500,80,300,15,True,638.17,12.8,5.3,2.91,14.5,55,2
0.06,1200,40,400,15,True,432.88,8.7,7.1,2.91,14.5,55,1
0.08,500,60,300,20,True,837.86,16.8,4.7,2.9,16.7,54,4
0.08,1200,40,250,25,True,622.13,12.4,5.0,2.9,11.8,51,3
0.08,300,80,300,20,True,930.37,18.6,6.4,2.89,18.5,54,4
0.08,300,100,300,20,True,930.37,18.6,6.4,2.89,18.5,54,4
0.06,300,60,400,25,True,857.93,17.2,3.9,2.89,18.0,50,2
0.06,750,100,150,15,True,706.01,14.1,2.7,2.89,11.9,59,6
0.06,300,40,400,25,True,853.87,17.1,4.6,2.88,19.2,52,2
0.08,1200,40,200,15,True,440.46,8.8,4.2,2.88,17.2,58,3
0.06,750,80,400,25,True,712.15,14.2,5.5,2.87,12.0,50,2
0.06,1000,60,300,15,True,638.38,12.8,4.9,2.87,16.1,56,2
0.06,500,80,150,25,True,706.57,14.1,3.0,2.85,15.4,52,6
0.06,500,100,150,25,True,706.57,14.1,3.0,2.85,15.4,52,6
0.06,500,80,400,15,True,789.56,15.8,5.2,2.84,14.5,55,2
0.1,1200,100,200,15,True,630.1,12.6,6.6,2.84,13.6,59,4
0.08,300,80,400,20,True,914.67,18.3,5.2,2.83,17.6,51,2
0.08,300,100,400,20,True,914.67,18.3,5.2,2.83,17.6,51,2
0.06,750,40,400,20,True,707.17,14.1,5.4,2.83,11.3,53,2
0.06,300,60,400,15,True,895.07,17.9,4.2,2.82,16.4,55,2
0.06,750,80,400,20,True,705.67,14.1,5.5,2.82,11.5,52,2
0.06,750,100,300,20,True,606.77,12.1,6.7,2.82,11.5,52,2
0.08,750,40,400,25,True,858.23,17.2,6.4,2.81,9.6,52,2
0.06,750,100,300,15,True,626.16,12.5,5.7,2.81,10.9,55,2
0.06,750,60,300,25,True,612.05,12.2,4.7,2.81,14.0,50,2
0.08,500,40,250,20,True,741.04,14.8,6.7,2.79,16.4,55,4
0.1,1000,100,400,25,True,731.97,14.6,7.0,2.79,16.3,49,2
0.06,500,40,200,20,True,607.69,12.2,5.2,2.79,18.2,55,4
0.1,750,40,300,20,True,810.52,16.2,5.5,2.78,9.1,55,4
0.08,750,40,150,20,True,720.07,14.4,3.2,2.78,14.0,57,6
0.1,750,60,200,15,True,890.63,17.8,3.9,2.76,15.0,60,6
0.08,500,40,250,25,True,707.92,14.2,6.0,2.76,17.3,52,4
0.08,1200,80,300,20,True,619.75,12.4,6.7,2.76,13.5,52,2
0.06,750,60,300,20,True,605.57,12.1,4.7,2.76,13.5,52,2
0.06,1200,40,250,25,True,481.7,9.6,6.1,2.76,12.2,49,2
0.08,1200,80,300,15,True,619.52,12.4,6.7,2.75,12.5,56,2
0.1,500,40,300,25,True,860.15,17.2,7.3,2.74,17.0,53,4
0.08,500,100,250,20,True,723.79,14.5,6.7,2.73,16.7,54,4
0.1,500,80,200,20,True,970.02,19.4,4.0,2.72,18.2,55,6
0.08,1200,60,400,25,True,710.34,14.2,7.0,2.72,8.0,50,2
0.1,1200,100,300,25,True,615.7,12.3,6.1,2.71,11.8,51,3
0.1,500,100,200,20,True,956.99,19.1,4.0,2.7,18.2,55,6
0.08,500,100,250,25,True,690.24,13.8,6.0,2.7,17.6,51,4
0.08,500,40,200,20,True,853.5,17.1,3.6,2.68,16.1,56,6
0.08,500,60,250,20,True,730.53,14.6,6.7,2.68,18.2,55,4
0.06,750,80,400,15,True,690.16,13.8,5.1,2.68,10.7,56,2
0.06,500,60,250,15,True,665.9,13.3,6.7,2.68,17.2,58,4
0.06,500,100,300,15,True,604.0,12.1,5.9,2.68,12.7,55,2
0.1,500,60,300,20,True,880.54,17.6,8.1,2.67,18.2,55,4
0.1,750,80,400,15,True,801.21,16.0,9.1,2.67,15.5,58,3
0.1,750,100,400,15,True,801.21,16.0,9.1,2.67,15.5,58,3
0.06,500,100,400,15,True,755.39,15.1,5.8,2.67,12.7,55,2
0.08,1200,80,250,20,True,587.71,11.8,6.8,2.67,13.2,53,3
0.06,1200,60,250,20,True,478.92,9.6,5.4,2.67,15.4,52,2
0.08,500,80,300,15,True,818.13,16.4,8.4,2.66,17.2,58,4
0.08,500,100,300,15,True,818.13,16.4,8.4,2.66,17.2,58,4
0.08,1200,80,250,15,True,587.49,11.7,6.8,2.66,12.3,57,3
0.08,1000,80,300,25,True,564.8,11.3,6.1,2.66,16.3,49,2
0.08,1000,100,300,25,True,564.8,11.3,6.1,2.66,16.3,49,2
0.08,500,60,400,25,True,839.45,16.8,6.0,2.65,17.6,51,2
0.1,500,40,400,25,True,837.36,16.7,7.6,2.65,15.4,52,3
0.06,500,40,250,20,True,547.28,10.9,5.3,2.65,17.0,53,3
0.06,1000,80,250,25,True,463.43,9.3,5.0,2.65,16.3,49,2
0.06,1000,100,250,25,True,463.43,9.3,5.0,2.65,16.3,49,2
0.06,1200,40,200,25,True,455.35,9.1,6.1,2.65,12.0,50,3
0.1,500,60,400,20,True,868.1,17.4,8.0,2.64,17.0,53,3
0.08,500,100,200,20,True,836.24,16.7,3.3,2.64,16.4,55,6
0.06,500,40,150,20,True,669.26,13.4,2.9,2.64,17.9,56,6
0.06,750,60,150,15,True,557.37,11.1,3.7,2.64,15.3,59,5
0.06,1200,60,250,15,True,477.44,9.5,5.4,2.64,14.3,56,2
0.08,1200,60,150,15,True,461.73,9.2,4.8,2.63,13.8,58,4
0.1,300,80,250,25,True,1003.74,20.1,6.2,2.62,20.8,53,5
0.06,300,80,400,25,True,804.32,16.1,4.4,2.62,16.0,50,2
0.06,300,100,400,25,True,804.32,16.1,4.4,2.62,16.0,50,2
0.06,300,80,200,20,True,731.38,14.6,5.1,2.62,16.4,55,5
0.06,300,100,200,20,True,731.38,14.6,5.1,2.62,16.4,55,5
0.06,500,60,300,25,True,567.68,11.4,4.1,2.62,18.0,50,2
0.06,750,60,250,15,True,520.53,10.4,5.8,2.62,15.5,58,3
0.1,1200,40,300,20,True,608.31,12.2,5.6,2.61,15.1,53,3
0.08,750,40,200,20,True,564.27,11.3,4.7,2.61,12.5,56,4
0.08,500,60,200,20,True,842.99,16.9,3.8,2.6,17.9,56,6
0.1,1000,40,400,25,True,714.97,14.3,6.8,2.6,17.6,51,2
0.08,500,60,400,15,True,881.46,17.6,6.4,2.59,15.8,57,2
0.06,750,40,400,25,True,664.92,13.3,5.6,2.59,9.8,51,2
0.08,1200,100,150,15,True,463.26,9.3,5.6,2.59,15.3,59,4
0.1,750,40,400,15,True,893.0,17.9,8.1,2.58,10.3,58,3
0.06,1200,60,200,20,True,453.94,9.1,5.4,2.58,15.1,53,3
0.06,300,80,400,15,True,841.45,16.8,5.1,2.57,14.5,55,2
0.06,300,100,400,15,True,841.45,16.8,5.1,2.57,14.5,55,2
0.06,300,40,400,20,True,799.22,16.0,4.4,2.57,18.2,55,2
0.06,500,80,300,20,True,577.39,11.5,6.1,2.57,13.7,51,2
0.06,500,100,300,20,True,577.39,11.5,6.1,2.57,13.7,51,2
0.06,1200,40,400,25,True,395.5,7.9,7.9,2.57,12.5,48,1
0.08,1000,40,150,15,True,545.23,10.9,2.9,2.56,20.0,60,5
0.06,1200,60,200,15,True,452.46,9.0,5.5,2.56,14.0,57,3
0.06,1000,100,250,20,True,453.85,9.1,5.7,2.55,17.3,52,2
0.06,750,100,200,20,True,513.71,10.3,4.5,2.54,13.0,54,4
0.1,1200,80,250,15,True,659.52,13.2,5.4,2.52,10.3,58,4
0.1,500,80,250,25,True,857.78,17.2,5.9,2.51,18.9,53,5
0.08,750,40,250,15,True,662.9,13.3,4.5,2.51,13.3,60,4
0.06,500,60,150,25,True,551.74,11.0,3.6,2.51,18.9,53,5
0.06,1000,40,400,20,True,459.55,9.2,8.6,2.51,13.7,51,1
