mode,buffer,sl,step,lock,trades,wr,net,pf,max_dd,min_bal
LIMIT,8.0,20.0,12.0,300.0,55,16.363636363636363,-2012.405000000057,0.5775116412846656,3398.3550000000264,1629.7349999999747
LIMIT,8.0,20.0,12.0,500.0,55,14.545454545454545,537.324999999897,1.1123866355437093,3560.865000000024,1467.2249999999772
LIMIT,8.0,20.0,12.0,800.0,55,14.545454545454545,732.2399999998797,1.1531549621002708,3365.950000000041,1662.1399999999599
LIMIT,8.0,20.0,12.0,1000.0,55,10.909090909090908,-816.8700000000817,0.849036414441571,4915.060000000003,113.02999999999793
LIMIT,8.0,20.0,15.0,300.0,55,21.818181818181817,-866.4000000000751,0.805880059687832,3753.684999999989,1274.405000000012
LIMIT,8.0,20.0,15.0,500.0,55,20.0,-1521.0300000001453,0.6959834023403152,4408.31500000006,619.7749999999414
LIMIT,8.0,20.0,15.0,800.0,55,18.181818181818183,-1825.0400000001182,0.6532395739025073,4712.325000000033,315.7649999999685
LIMIT,8.0,20.0,15.0,1000.0,55,16.363636363636363,-2541.6200000001218,0.5492074922203423,5428.905000000036,-400.81500000003507
LIMIT,8.0,25.0,8.0,300.0,55,16.363636363636363,487.90499999994245,1.106574851738173,2912.5899999999983,2123.230000000004
LIMIT,8.0,25.0,8.0,500.0,55,10.909090909090908,-32.77500000004602,0.9931214177329859,3433.269999999987,1602.5500000000156
LIMIT,8.0,25.0,8.0,800.0,55,10.909090909090908,-116.82500000004347,0.9754816056951002,3517.3199999999842,1518.5000000000182
LIMIT,8.0,25.0,8.0,1000.0,55,10.909090909090908,-116.82500000004347,0.9754816056951002,3517.3199999999842,1518.5000000000182
LIMIT,8.0,25.0,10.0,300.0,55,18.181818181818183,-1764.7750000000397,0.6318392236136845,3454.2900000000036,1573.7999999999975
LIMIT,8.0,25.0,10.0,500.0,55,12.727272727272727,-1023.2900000000782,0.8005372078834522,3933.4550000000017,1094.6349999999993
LIMIT,8.0,25.0,10.0,800.0,55,12.727272727272727,-1192.895000000125,0.7674772865933644,4103.060000000049,925.0299999999525
LIMIT,8.0,25.0,10.0,1000.0,55,12.727272727272727,-1192.895000000125,0.7674772865933644,4103.060000000049,925.0299999999525
LIMIT,8.0,25.0,12.0,300.0,55,16.363636363636363,-2324.6450000000586,0.5419833867274975,3710.5950000000284,1317.4949999999726
